company,company_formal,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,industry,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30,column31,column32,column33,column34,column35,column36,column37,column38,column39,column40,column41,column42,column43,column44
Compuage Infocom,COMPUAGE INFOCOM LTD.,4.1,175,3.8,4.1,4.0,4.0,4.1,4.0,3.5,49856, ,20101032057,Compuage Group,1,8.0040416201212e+19,Wholesale trade in computer systems and peripherals,101040401000000,Wholesale trading,460501010000,46511,Wholesale of computers and computer peripheral equipment,1999,Retail & Wholesale,49856,20240331,12,INDAS,541.2,253.0,-358.9,3928.4,59.7,59.4,0.3,-3746.1,6670.6,5.0,,,COMPUAGE INFOCOM LTD.,6670.6,175.0,Matched (3)
Concord Biotech,CONCORD BIOTECH LTD.,3.7,319,4.0,3.7,3.3,3.6,3.5,3.5,3.3,50178,CONCORD BIOTECH,20102000000,Private (Indian),1,5.01248e+19,Drug formulations,101012030000000,Drugs & pharmaceuticals,210101020000,21002,Manufacture of allopathic pharmaceutical preparations,1984,Healthcare & Pharmaceuticals,50178,20240331,12,INDAS,10507.1,10180.5,120.8,7580.6,1121.6,1096.8,19.3,3047.3,19933.8,2401.0,102.0,0.0,CONCORD BIOTECH LTD.,19933.8,319.0,Matched (3)
Confidence Petroleum India,CONFIDENCE PETROLEUM INDIA LTD.,3.0,368,2.5,2.9,2.7,2.7,2.7,2.7,2.4,58975,,20101032058,Confidence Group,1,6.0360606e+19,Liquefied petroleum gas (LPG),101012050010000,Refinery,190201090000,19209,"Manufacture of other petroleum n.e.c. (includes Manufacture of petroleum jelly, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous minerals)",1994,Energy & Utilities,58975,20240331,12,INDAS,25402.3,25223.5,-598.1,23870.4,232.2,223.0,8.4,933.8,18662.2,3314.0,169.0,0.0,CONFIDENCE PETROLEUM INDIA LTD.,18662.2,368.0,Matched (3)
Consolidated Construction Consortium,CONSOLIDATED CONSTRUCTION CONSORTIUM LTD.,4.4,284,4.1,4.1,4.0,4.3,4.3,4.5,4.0,50445,,20102000000,Private (Indian),1,7.4060612e+19,Construction of other industrial plants,101060201000000,Industrial construction,420201090000,42209,Construction of utility projects n.e.c.,1997,Construction & Real Estate,50445,20240331,12,INDAS,14769.5,1392.3,,8112.8,615.9,608.6,5.1,6656.7,5018.8,201.0,,,CONSOLIDATED CONSTRUCTION CONSORTIUM LTD.,5018.8,284.0,Matched (3)
Control Print,CONTROL PRINT LTD.,3.8,233,3.7,3.6,3.5,3.5,3.5,3.6,3.1,50821,,20101032059,Control Print Group,1,6.31224909099e+19,"Miscellaneous components, nec",101014010900000,Other electronics,260101090000,26109,Manufacture of other electronic components n.e.c,1991,IT Sector,50821,20240331,12,INDAS,3476.3,3436.7,-46.0,2874.2,583.0,566.4,16.6,556.1,4353.6,851.0,67.0,3.0,CONTROL PRINT LTD.,4353.6,233.0,Matched (3)
Coromandel International,COROMANDEL INTERNATIONAL LTD.,4.1,1.9k,4.2,3.8,3.6,3.7,3.8,3.8,3.3,51238,COROMANDEL,20101011900,Murugappa Group,1,5.016e+19,Fertilisers,101012015000000,Fertilisers,200102000000,2012,Manufacture of fertilizers and nitrogen compounds,1961,Chemical & Allied Products,51238,20240331,12,INDAS,223083.0,220272.4,2619.2,208509.7,6900.7,6222.8,614.9,17192.5,158729.2,16286.0,183.0,10.0,COROMANDEL INTERNATIONAL LTD.,158729.2,1900.0,Matched (3)
Craftsman Automation,CRAFTSMAN AUTOMATION LTD.,4.0,467,3.5,3.4,4.1,3.5,3.3,3.8,3.5,281470,CRAFTSMAN AUTOMATION,20101032031,Craftsman Automation Group,1,6.6201232e+19,Gears including crown wheels,101014502059000,Other automobile ancillaries,290301010000,29301,"Manufacture of diverse parts and accessories for motor vehicles such as brakes, gearboxes, axles, road wheels, suspension shock absorbers, radiators, silencers, exhaust pipes, catalysers, clutches, steering wheels, steering columns and steering boxes etc.",1986,Automobile & Ancillaries,281470,20240331,12,INDAS,32233.7,32081.3,1061.1,31318.9,2487.6,2194.8,292.8,1975.9,42011.7,2729.0,33.0,1.0,CRAFTSMAN AUTOMATION LTD.,42011.7,467.0,Matched (3)
Creditaccess Grameen,CREDITACCESS GRAMEEN LTD.,4.2,1.1k,4.2,4.0,4.0,3.9,4.2,4.0,3.8,211592,SANNI COLLECTION,20202000000,Private (Foreign),2,8.50408e+19,Non-banking financial services,102040000000000,Other fund based financial services,640909010000,64990,"Other financial service activities, except insurance and pension funding activities, n.e.c.",1991,Financial Services,211592,20240331,12,FS_INDAS,51726.5,,,37267.2,6869.9,6442.1,175.5,14459.3,306739.5,,,,CREDITACCESS GRAMEEN LTD.,306739.5,1100.0,Matched (3)
Cummins India,CUMMINS INDIA LTD.,4.3,3.4k,3.8,4.2,4.0,4.0,4.4,4.1,3.5,52835,CUMMINS,20202000000,Private (Foreign),1,6.3044e+19,Internal combustion engines,101014001300000,Engines,280101010000,28110,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",1962,Diversified / Miscellaneous,52835,20240331,12,INDAS,96597.0,92471.8,-136.3,79854.5,7810.0,7402.2,379.5,16606.2,85488.7,5093.0,814.0,3.0,CUMMINS INDIA LTD.,85488.7,3400.0,Matched (3)
Cybertech Systems & Software,CYBERTECH SYSTEMS & SOFTWARE LTD.,3.7,111,4.1,3.6,3.7,3.6,3.6,3.9,3.4,53088,,20101032068,Cybertech Systems & Software Group,1,8.03204e+19,Software services,101040801000000,Computer software,620101030000,62013,Providing software support and maintenance to the clients,1995,IT Sector,53088,20240331,12,INDAS,1651.9,1614.4,,1468.9,746.8,723.6,7.4,183.0,2262.5,485.0,,,CYBERTECH SYSTEMS & SOFTWARE LTD.,2262.5,111.0,Matched (3)
Cyient,CYIENT LTD.,3.7,4.9k,3.7,3.7,3.1,3.4,3.5,3.4,2.9,100644,INFOTECH ENTERPRISES,20101032033,Cyient group,1,8.03204e+19,Software services,101040801000000,Computer software,620101030000,62013,Providing software support and maintenance to the clients,1991,IT Sector,100644,20240331,12,INDAS,25377.0,24614.0,,20404.0,13486.0,12715.0,446.0,4973.0,37380.0,13141.0,3065.0,82.0,CYIENT LTD.,37380.0,4900.0,Matched (3)
Danlaw Technologies India,DANLAW TECHNOLOGIES INDIA LTD.,3.7,63,3.5,3.6,3.1,3.6,3.6,3.7,3.2,55743,,20102000000,Private (Indian),1,6.312e+19,Electronics,101014010900000,Other electronics,260101000000,2610,Manufacture of electronic components,1992,IT Sector,55743,20240331,12,INDAS,2112.6,2109.8,2.9,1893.2,302.3,281.5,20.3,222.3,1407.4,243.0,,,DANLAW TECHNOLOGIES INDIA LTD.,1407.4,63.0,Matched (3)
Datamatics Global Services,DATAMATICS GLOBAL SERVICES LTD.,3.4,2.1k,3.3,3.4,2.9,3.2,3.3,3.3,2.8,56285,,20101032315,Datamatics Group,1,8.03204e+19,Software services,101040801000000,Computer software,620101030000,62013,Providing software support and maintenance to the clients,1987,IT Sector,56285,20240331,12,INDAS,7657.7,7353.5,,6794.5,5072.9,4953.3,44.4,863.2,9798.8,6825.0,2740.0,182.0,DATAMATICS GLOBAL SERVICES LTD.,9798.8,2100.0,Matched (3)
Delton Cables,DELTON CABLES LTD.,3.5,74,3.1,3.1,3.5,3.3,3.3,3.3,3.4,58197,,20102000000,Private (Indian),1,6.30828e+19,"Wires & cables, insulated",101014005010000,Wires & cables,270302010000,27320,"Manufacture of other electronic and electric wires and cables (insulated wire and cable made of steel, copper, aluminium)",1964,Metals & Metal Products,58197,20240331,12,INDAS,4223.2,4016.9,323.1,4399.7,234.1,218.3,15.8,146.6,2684.5,217.0,,,DELTON CABLES LTD.,2684.5,74.0,Matched (3)
Dev Information Technology,DEV INFORMATION TECHNOLOGY LTD.,3.8,216,3.6,3.9,3.4,3.6,3.7,3.6,3.3,58843,,20102000000,Private (Indian),1,8.03204e+19,Software services,101040801000000,Computer software,620101030000,62013,Providing software support and maintenance to the clients,1997,IT Sector,58843,20240331,12,INDAS,1587.8,1572.9,13.4,1513.5,691.0,680.9,2.9,87.7,889.4,971.0,,,DEV INFORMATION TECHNOLOGY LTD.,889.4,216.0,Matched (3)
Devyani International,DEVYANI INTERNATIONAL LTD.,3.8,1.3k,3.6,3.6,3.7,3.6,3.6,3.8,3.5,59344,DEVYANI INTL.,20101036904,RJ Corp Group,1,8.008e+19,"Hotels, resorts & restaurants",101040101000000,Hotels & restaurants,550101010000,55101,"Hotels and Motels, inns, resorts providing short term lodging facilities; includes accommodation in house boats",1991,Services & Consultancy,59344,20240331,12,INDAS,31652.3,31189.5,,31715.7,4219.7,4115.0,118.6,-63.4,41056.8,16371.0,4618.0,55.0,DEVYANI INTERNATIONAL LTD.,41056.8,1300.0,Matched (3)
Dhani Services,DHANI SERVICES LTD.,3.6,588,2.8,3.4,3.4,3.3,3.3,3.3,2.9,339986,ISL,20101033918,IndiaBulls Group,2,8.50408e+19,Non-banking financial services,102040000000000,Other fund based financial services,640909010000,64990,"Other financial service activities, except insurance and pension funding activities, n.e.c.",1995,Financial Services,339986,20240331,12,FS_INDAS,963.1,,,1106.9,60.1,56.0,,-143.8,62550.8,7.0,,,DHANI SERVICES LTD.,62550.8,588.0,Matched (3)
Dhanlaxmi Bank,DHANLAXMI BANK LTD.,4.3,112,4.4,4.4,3.9,4.0,4.1,4.0,3.4,59594,DHANALAKSHMI,20101032350,Dhanlaxmi Bank Group,3,8.50404e+19,Banking services,102010000000000,Banking services,640109010000,64191,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1927,Financial Services,59594,20240331,12,IGAAP,13943.2,,,13365.0,3317.3,2712.0,,578.2,159634.1,1686.0,,,DHANLAXMI BANK LTD.,159634.1,112.0,Matched (3)
Dhanuka Agritech,DHANUKA AGRITECH LTD.,3.8,580,3.6,3.6,3.5,3.5,3.7,3.8,3.3,59898,,20101032339,Dhanuka Group,1,5.02e+19,Pesticides,101012020000000,Pesticides,200201000000,2021,Manufacture of pesticides and other agrochemical products,1985,Chemical & Allied Products,59898,20240331,12,INDAS,19378.5,18999.9,356.2,17343.8,1561.5,1497.2,45.0,2390.9,15971.3,1143.0,40.0,0.0,DHANUKA AGRITECH LTD.,15971.3,580.0,Matched (3)
Disa India,DISA INDIA LTD.,3.6,66,3.2,3.5,3.3,3.4,3.4,3.4,3.0,61785,DISA INDIA,20202000000,Private (Foreign),1,6.3042048e+19,Metallurgical machinery,101014001050000,Industrial machinery,280203010000,28230,Manufacture of machinery for metallurgy,1984,Electrical Machinery & Equipment,61785,20240331,12,INDAS,3346.3,3196.3,119.1,3050.0,440.7,384.6,43.4,415.4,4152.2,306.0,12.0,0.0,DISA INDIA LTD.,4152.2,66.0,Matched (3)
Divgi Torqtransfer Systems,DIVGI TORQTRANSFER SYSTEMS LTD.,3.3,157,3.5,3.0,2.6,2.9,2.8,3.4,2.5,61952,DIVGI METALWARES,20101032341,Divgi Group,1,6.304082e+19,Gears,101014001010000,General purpose machinery,280104010000,28140,"Manufacture of bearings, gears, gearing and driving elements",1964,Electrical Machinery & Equipment,61952,20240331,12,INDAS,2729.9,2536.7,54.9,2387.4,241.3,227.8,13.5,397.4,6478.5,652.0,39.0,0.0,DIVGI TORQTRANSFER SYSTEMS LTD.,6478.5,157.0,Matched (3)
Dodla Dairy,DODLA DAIRY LTD.,4.2,561,4.2,4.0,3.9,3.9,4.1,4.0,3.6,62274,DODLA DAIRY,20101032342,Dodla Dairy Group,1,3.31204e+19,Milk,101011101010000,Dairy products,10401020000,1412,Production of milk from cows or buffaloes,1995,Food & Beverages,62274,20240331,12,INDAS,29327.7,29069.0,2989.6,30778.5,1230.4,1159.1,18.6,1538.8,13194.4,5839.0,1086.0,7.0,DODLA DAIRY LTD.,13194.4,561.0,Matched (3)
Dollar Industries,DOLLAR INDUSTRIES LTD.,3.5,174,3.5,3.3,3.2,3.2,3.1,3.2,2.8,85402,GRAPHIC FINANCE,20101032344,Dollar Industries Group,1,3.6240452e+19,"Other garments, knitted or crocheted",101011520000000,Readymade garments,140301090000,14309,Manufacture of other knitted and crocheted apparel including hosiery,1993,Textiles & Garments,85402,20240331,12,INDAS,16792.8,16728.4,927.5,16826.4,889.9,862.5,20.0,893.9,13659.8,2160.0,481.0,0.0,DOLLAR INDUSTRIES LTD.,13659.8,174.0,Matched (3)
Donear Industries,DONEAR INDUSTRIES LTD.,3.4,151,3.5,3.3,3.1,3.2,3.2,3.3,2.9,62538,,20102000000,Private (Indian),1,3.62012e+19,Fabrics of man-made yarn,101011505000000,Cloth,130102040000,13124,"Weaving, manufacturing of man-made fiber and man-made mixture fabrics.",1987,Textiles & Garments,62538,20240331,12,INDAS,8081.0,8028.1,72.9,7806.8,823.4,806.7,16.7,347.1,7259.9,2510.0,,,DONEAR INDUSTRIES LTD.,7259.9,151.0,Matched (3)
Dr. Lal Pathlabs,DR. LAL PATHLABS LTD.,4.2,1.7k,4.1,4.0,3.9,3.9,4.0,4.0,3.6,331940,DR. LAL PATHLABS,20101032328,Dr. Lal Path Labs Group,1,8.040080412e+19,Medical testing centres/Labs,101041515000000,Health services,860101010000,86100,Hospital activities,1995,Healthcare & Pharmaceuticals,331940,20240331,12,INDAS,20268.7,19687.7,,16425.0,3635.9,3343.5,84.0,3843.7,24320.6,4248.0,1003.0,28.0,DR. LAL PATHLABS LTD.,24320.6,1700.0,Matched (3)
Duncan Engineering,DUNCAN ENGINEERING LTD.,3.3,52,3.1,3.2,3.7,3.2,3.4,3.4,3.3,215349,SCHRADER DUNCAN,20101033125,Goenka J.P. Group,1,6.6202832e+19,Auto hydraulic pneumatic equipment,101014502059000,Other automobile ancillaries,280102010000,28120,Manufacture of fluid power equipment,1961,Automobile & Ancillaries,215349,20240331,12,INDAS,673.3,651.0,9.2,613.8,150.3,143.7,3.5,68.7,694.2,182.0,,,DUNCAN ENGINEERING LTD.,694.2,52.0,Matched (3)
Duroply Industries,DUROPLY INDUSTRIES LTD.,4.2,94,3.8,4.1,3.9,3.8,3.9,3.7,3.6,212846,SARDA PLYWOOD INDS.,20102000000,Private (Indian),1,4.30836e+19,Plywood,101013035000000,Wood & wood products,160201010000,16211,Manufacture of ply wood and veneer sheets,1957,Consumer Goods & Durables,212846,20240331,12,INDAS,3243.5,3227.2,119.7,3353.1,322.3,315.6,4.4,10.1,2699.4,538.0,,,DUROPLY INDUSTRIES LTD.,2699.4,94.0,Matched (3)
Dynacons Systems & Solutions,DYNACONS SYSTEMS & SOLUTIONS LTD.,3.7,341,3.6,3.5,3.1,3.4,3.5,3.4,2.9,64136,,20102000000,Private (Indian),1,8.00404162008e+19,Wholesale trade in electrical machinery other than electronics,101040401000000,Wholesale trading,460509030000,46593,"Wholesale of electrical machinery, equipment and supplies, n.e.c.",1995,Retail & Wholesale,64136,20240331,12,INDAS,10288.1,10244.3,367.6,10116.1,385.5,374.8,10.7,539.6,5877.6,1071.0,,,DYNACONS SYSTEMS & SOLUTIONS LTD.,5877.6,341.0,Matched (3)
Dynamatic Technologies,DYNAMATIC TECHNOLOGIES LTD.,3.9,200,3.7,3.7,3.5,3.6,3.5,3.6,3.4,64150,,20101032348,Dynamatic Group,1,6.620126e+19,Hydraulic pumps,101014502059000,Other automobile ancillaries,280102010000,28120,Manufacture of fluid power equipment,1973,Automobile & Ancillaries,64150,20240331,12,INDAS,6625.3,5818.6,161.5,5841.9,849.2,760.1,81.4,944.9,11872.6,1503.0,62.0,0.0,DYNAMATIC TECHNOLOGIES LTD.,11872.6,200.0,Matched (3)
Eclerx Services,ECLERX SERVICES LTD.,3.2,5.4k,3.5,3.2,2.7,2.9,3.1,3.2,2.5,65745,,20101032601,EClerx Group,1,8.03208e+19,Information technology enabled service/BPO,101040802000000,ITES,630909090000,63999,Other information service activities n.e.c.,2000,IT Sector,65745,20240331,12,INDAS,21399.3,20948.3,,17834.3,8851.4,8699.3,70.7,3565.0,21104.2,,,,ECLERX SERVICES LTD.,21104.2,5400.0,Matched (3)
Edelweiss Financial Services,EDELWEISS FINANCIAL SERVICES LTD.,3.9,1.1k,3.6,3.8,3.6,3.5,3.7,3.7,3.3,65956,EDELWEISS CAPITAL,20101032606,Edelweiss Group,2,8.50416e+19,Securities investment services,102040000000000,Other fund based financial services,640301010000,64300,"Trusts, funds and other financial vehicles",1995,Financial Services,65956,20240331,12,FS_INDAS,18043.2,399.1,,11091.1,377.0,373.9,3.1,6952.1,89077.2,15.0,6.0,,EDELWEISS FINANCIAL SERVICES LTD.,89077.2,1100.0,Matched (3)
Eicher Motors,EICHER MOTORS LTD.,4.0,2.2k,3.7,3.8,3.6,3.7,3.7,3.8,3.2,66185,,20101020142,Eicher Group,1,6.616120404e+19,Motorcycles,101014502011500,Two & three wheelers,300901010000,30911,"Manufacture of motorcycles, scooters, mopeds etc. and their engine",1982,Automobile & Ancillaries,66185,20240331,12,INDAS,173208.8,161527.4,2224.7,137939.3,11469.5,10437.9,566.1,37494.2,205756.2,16554.0,1774.0,4.0,EICHER MOTORS LTD.,205756.2,2200.0,Matched (3)
Electrosteel Castings,ELECTROSTEEL CASTINGS LTD.,3.8,529,4.1,3.8,3.2,3.6,3.7,3.6,3.0,66728,,20101035010,Lanco Group,1,5.704081299e+19,"Tubes & pipes, nec",101013501200000,Steel pipes & tubes,240301010000,24311,"Manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings of cast-iron/cast-steel",1955,Metals & Metal Products,66728,20240331,12,INDAS,70939.6,69380.2,-532.7,63046.4,3927.2,3650.3,227.1,7360.5,86483.8,12033.0,70.0,4.0,ELECTROSTEEL CASTINGS LTD.,86483.8,529.0,Matched (3)
Elgi Equipments,ELGI EQUIPMENTS LTD.,4.0,385,3.9,3.8,3.6,3.6,3.8,3.6,3.2,66917,ELGI EQUIPMENTS,20101020144,Elgi Group,1,6.304080408e+19,Compressors,101014001010000,General purpose machinery,280103020000,28132,"Manufacture of other pumps, compressors, taps and valves etc.",1960,Electrical Machinery & Equipment,66917,20240331,12,INDAS,19118.5,18456.6,74.8,15971.3,1864.9,1708.4,117.1,3222.0,19191.2,1376.0,103.0,1.0,ELGI EQUIPMENTS LTD.,19191.2,385.0,Matched (3)
Elin Electronics,ELIN ELECTRONICS LTD.,3.8,173,3.5,3.6,3.4,3.4,3.4,3.6,3.2,66967,ELIN ELECTRONICS,20101032622,Elin Group,1,6.30804041612e+19,"Electric motors, nec",101014005050000,"Generators, transformers & switchgears",270101030000,27103,Manufacture of electric motors (except internal combustion engine starting motors),1982,Electrical Machinery & Equipment,66967,20240331,12,INDAS,8456.3,8366.1,-62.0,8266.9,1235.3,1193.2,13.8,127.4,5497.9,5379.0,,,ELIN ELECTRONICS LTD.,5497.9,173.0,Matched (3)
Emami,EMAMI LTD.,3.9,1.4k,3.9,3.8,3.5,3.6,3.6,3.6,3.1,67417,,20101032612,Emami Group,1,5.0280304e+19,Cosmetics & toilet preparations,101012501000000,Personal & home care products,200203070000,20237,"Manufacture of cosmetics and toileteries (includes Manufacture of pre- shave, shaving or after shave preparations; personal deodorants and anti- respirants; perfumed bath salts and other bath preparations; beauty or make-up preparations and preparations for the care of the skin, other than medicaments; manicure and pedicure preparations etc.)",1983,Consumer Goods & Durables,67417,20240331,12,INDAS,29908.2,29273.2,-18.9,22955.4,3246.6,3110.0,77.6,6933.9,29371.4,5780.0,1070.0,9.0,EMAMI LTD.,29371.4,1400.0,Matched (3)
Emami Paper Mills,EMAMI PAPER MILLS LTD.,4.2,299,4.3,4.0,3.5,3.9,3.9,4.0,3.4,87169,,20101032612,Emami Group,1,4.61212e+19,Paper,101015001050000,Paper & newsprint,170101030000,17013,Manufacture of paper and paper rolls not further processed,1981,Diversified / Miscellaneous,87169,20240331,12,INDAS,19975.5,19938.4,250.6,19383.1,830.1,767.8,56.8,843.0,17212.5,2901.0,17.0,,EMAMI PAPER MILLS LTD.,17212.5,299.0,Matched (3)
Emkay Global Financial Services,EMKAY GLOBAL FINANCIAL SERVICES LTD.,3.4,89,3.3,3.6,3.2,3.3,3.3,3.2,3.0,67761,,20101032623,Emkay Group,2,8.5080304e+19,Securities broking/commission services,102050100000000,Securities broking,660102010000,66120,Security and commodity contracts brokerage,1995,Financial Services,67761,20240331,12,FS_INDAS,2851.7,342.8,,2607.0,1289.3,1261.6,11.2,244.7,10077.9,513.0,,,EMKAY GLOBAL FINANCIAL SERVICES LTD.,10077.9,89.0,Matched (3)
Empire Industries,EMPIRE INDUSTRIES LTD.,3.5,60,3.3,3.4,3.7,3.1,3.1,3.2,3.2,67872,EMPIRE INDS.,20102000000,Private (Indian),1,8e+19,Non-financial services,101043500000000,Diversified non-financial services,460901090000,46909,Other non-specialised wholesale trade n.e.c.,1900,Diversified / Miscellaneous,67872,20240331,12,INDAS,6308.0,6060.3,-8.3,5929.7,1277.6,1190.1,87.5,370.0,7334.3,764.0,,,EMPIRE INDUSTRIES LTD.,7334.3,60.0,Matched (3)
Engineers India,ENGINEERS INDIA LTD.,4.3,703,4.0,4.2,3.9,4.0,4.1,4.1,3.6,68332,ENGRS. INDIA,10101000000,Central Govt. - Commercial Enterprises,1,7.4060612e+19,Construction of other industrial plants,101060201000000,Industrial construction,420201090000,42209,Construction of utility projects n.e.c.,1965,Construction & Real Estate,68332,20240331,12,INDAS,34861.7,32547.5,-13.1,31278.7,9718.2,8770.3,370.7,3569.9,51855.4,2661.0,309.0,46.0,ENGINEERS INDIA LTD.,51855.4,703.0,Matched (3)
Equitas Small Finance Bank,EQUITAS SMALL FINANCE BANK LTD.,4.4,6.3k,4.3,4.3,4.2,4.2,4.3,4.2,4.0,259528,V A P FINANCE,20101032616,Equitas Group,3,8.50404e+19,Banking services,102010000000000,Banking services,640109010000,64191,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1993,Financial Services,259528,20240331,12,IGAAP,63049.5,,,55059.9,13688.3,13688.3,,7989.6,453038.5,22873.0,2941.0,2.0,EQUITAS SMALL FINANCE BANK LTD.,453038.5,6300.0,Matched (3)
Esab India,ESAB INDIA LTD.,4.1,282,4.3,4.1,3.5,3.8,3.9,3.6,3.3,69059,,20202000000,Private (Foreign),1,6.30816e+19,Welding machinery,101014005150000,Miscellaneous electrical machinery,270901010000,27900,Manufacture of other electrical equipment,1987,Electrical Machinery & Equipment,69059,20240331,12,INDAS,12498.1,12433.2,35.0,10903.3,1089.8,967.8,108.7,1629.8,5639.9,1201.0,79.0,,ESAB INDIA LTD.,5639.9,282.0,Matched (3)
Ester Industries,ESTER INDUSTRIES LTD.,4.0,166,4.0,4.1,3.7,3.8,3.9,3.8,3.4,69826,ESTER INDS.,20202000000,Private (Foreign),1,3.62016e+19,Polyester chips & granules,101011510000000,Man-made filaments & fibres,200301010000,20301,Manufacture of synthetic or artificial filament tow,1985,Textiles & Garments,69826,20240331,12,INDAS,8817.4,8553.9,101.6,9352.3,548.0,521.7,23.0,-433.3,15740.1,896.0,10.0,1.0,ESTER INDUSTRIES LTD.,15740.1,166.0,Matched (3)
Everest Industries,EVEREST INDUSTRIES LTD.,3.9,832,3.8,3.9,3.7,3.6,3.8,3.7,3.2,69905,,20101020212,Gujarat Ambuja Cement Group,1,5.4061824e+19,Fabricated asbestos fibres & friction materials,101013090000000,Other construction materials,230905090000,23959,Manufacture of other cement and asbestos cement products n.e.c.,1934,Construction & Real Estate,69905,20240331,12,INDAS,16193.7,15887.7,-178.1,15776.9,1529.0,1393.1,95.6,238.7,12566.6,4335.0,104.0,6.0,EVEREST INDUSTRIES LTD.,12566.6,832.0,Matched (3)
Everest Kanto Cylinder,EVEREST KANTO CYLINDER LTD.,3.7,80,3.5,3.7,3.4,3.5,3.4,3.7,3.2,70379,,20101032625,Everest Kanto Group,1,5.7040824e+19,LPG cylinders & other gas containers,101013501500000,Other ferrous metal products,250102010000,25121,Manufacture of metal containers for compressed or liquefied gas,1978,Metals & Metal Products,70379,20240331,12,INDAS,7827.6,7728.6,-180.2,7108.8,344.6,333.5,7.1,538.6,8799.8,686.0,7.0,1.0,EVEREST KANTO CYLINDER LTD.,8799.8,80.0,Matched (3)
Excel Industries,EXCEL INDUSTRIES LTD.,4.0,155,4.1,3.8,3.5,3.6,3.8,3.7,3.1,70775,EXCEL,20101020148,Excel Industries Group,1,5.004041236e+19,Phosphorous,101012001000000,Inorganic chemicals,200101060000,20116,Manufacture of basic chemical elements,1960,Chemical & Allied Products,70775,20240331,12,INDAS,8591.5,8305.6,-114.9,8325.5,1052.9,981.1,71.3,151.1,14211.5,1594.0,38.0,2.0,EXCEL INDUSTRIES LTD.,14211.5,155.0,Matched (3)
Exicom Tele-Systems,EXICOM TELE-SYSTEMS LTD.,4.2,136,3.9,4.0,3.6,3.9,4.1,3.9,3.5,93462,,20101020215,HFCL Group,1,6.312160804e+19,Telephones,101012525050000,Consumer electronics,260301020000,26302,"Manufacture of telephone and facsimile equipment, including telephone answering machines, PBX",1994,Consumer Goods & Durables,93462,20240331,12,INDAS,8853.8,8729.2,459.8,8649.3,666.1,622.5,14.0,664.3,9294.9,1337.0,143.0,0.0,EXICOM TELE-SYSTEMS LTD.,9294.9,136.0,Matched (3)
Exide Industries,EXIDE INDUSTRIES LTD.,3.5,2.4k,3.4,3.2,3.3,3.1,3.1,3.2,2.7,71060,EXIDE INDS.,20101020375,Raheja Rajan Group,1,6.3083208e+19,Storage batteries,101014502051500,Storage batteries,270201010000,27201,"Manufacture of primary cells and primary batteries nd rechargable batteries, cells containing manganese oxide, mercuric oxide silver oxide or other material",1947,Electrical Machinery & Equipment,71060,20240331,12,INDAS,169195.4,168303.2,2017.8,160683.6,9827.6,9016.9,805.5,10529.6,169460.1,19447.0,365.0,25.0,EXIDE INDUSTRIES LTD.,169460.1,2400.0,Matched (3)
Expleo Solutions,EXPLEO SOLUTIONS LTD.,3.6,647,3.2,3.5,3.2,3.3,3.3,3.4,3.0,250468,,20202000000,Private (Foreign),1,8.03204e+19,Software services,101040801000000,Computer software,620101030000,62013,Providing software support and maintenance to the clients,1998,IT Sector,250468,20240331,12,INDAS,9706.2,9671.1,,8895.2,5340.1,5179.7,99.2,811.0,7012.9,4429.0,1451.0,10.0,EXPLEO SOLUTIONS LTD.,7012.9,647.0,Matched (3)
Faze Three,FAZE THREE LTD.,3.7,113,3.3,3.4,3.3,3.4,3.4,3.5,3.1,72576,,20102000000,Private (Indian),1,3.660161604e+19,Cotton durries,101011590000000,Other textiles,130903010000,13931,Manufacture of carpets and other floor coverings made of cotton,1985,Textiles & Garments,72576,20240331,12,INDAS,5445.5,5365.6,280.6,5305.0,811.2,792.8,18.4,421.1,7127.6,3078.0,568.0,7.0,FAZE THREE LTD.,7127.6,113.0,Matched (3)
Fedbank Financial Services,FEDBANK FINANCIAL SERVICES LTD.,4.1,694,3.9,4.0,4.0,3.8,3.9,3.8,3.7,72601,,20101032902,Federal Bank Group,2,8.50408e+19,Non-banking financial services,102040000000000,Other fund based financial services,640909010000,64990,"Other financial service activities, except insurance and pension funding activities, n.e.c.",1995,Financial Services,72601,20240331,12,FS_INDAS,16325.6,,,13878.6,3200.1,2981.4,122.8,2447.0,112842.2,4262.0,660.0,0.0,FEDBANK FINANCIAL SERVICES LTD.,112842.2,694.0,Matched (3)
